	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"
"AT1G01010"	7.82	7.66	7.57	7.48	7.56	7.68	7.85	7.75	7.53	7.43	7.64	7.8	7.9	7.82	7.7	7.01	6.84	6.76
"AT1G01040"	7.06	7.29	7.27	7.09	7.33	7.12	7.08	7.03	6.88	6.65	6.87	6.85	6.83	6.81	6.77	6.69	6.53	6.57
"AT1G01050"	9.78	9.62	9.8	9.93	9.97	9.98	9.97	10.07	10.14	10.09	10.18	10.13	10.13	10.14	10.16	10.21	10.19	10.27
"AT1G01060"	5.44	5.31	6.01	7.59	8.64	8.84	8.81	7.97	6.51	4.73	5.17	6.9	7.95	8.15	7.72	6.95	6.48	5.77
"AT1G01070"	9.33	9.08	9.06	8.82	8.87	8.81	8.86	8.98	8.68	8.11	7.87	7.85	7.65	7.56	7.84	7.55	7.32	7.34
"AT1G01080"	5.79	5.87	6	5.94	5.91	5.93	5.91	5.76	5.81	5.67	5.65	5.5	5.48	5.73	5.63	5.49	5.3	5.22
"AT1G01090"	9.56	9.6	10.75	11.29	11.88	11.89	11.8	11.51	11.3	11.16	11.14	11.26	11.28	11.2	11.02	10.88	10.86	10.93
"AT1G01100"	10.13	10.61	10.98	11.13	11.51	11.74	11.76	11.98	12.18	12.16	12.25	12.28	12.47	12.51	12.5	12.59	12.6	12.62
"AT1G01110"	4.18	4.33	4	4	3.94	3.85	3.86	4.05	4.28	4.77	4.6	4.82	5.47	5.7	5.9	6.56	6.61	6.7
"AT1G01120"	9.39	9.73	10	10.33	10.62	10.76	10.64	10.38	10.19	10.12	10.16	10.4	10.01	9.92	9.59	9.19	9.07	9.17
"AT1G01130"	4.3	4.43	4.05	4.1	4.09	4.04	4.14	3.96	3.97	3.98	3.89	4.19	4.03	4.2	3.98	3.99	3.95	4
"AT1G01140"	4.79	5.09	3.64	3.6	3.34	3.58	3.7	3.77	3.48	3.39	3.39	3.26	3.28	3.33	3.25	3.09	3.07	3.07
"AT1G01160"	7.42	7.39	7.53	7.5	7.78	7.68	7.78	7.98	8	8.13	8	8.09	8.39	8.52	8.66	8.65	8.79	8.81
"AT1G01170"	7.44	7.04	7.56	7.73	7.86	7.65	7.45	6.89	7.03	7.4	7.46	7.29	7.05	6.7	6.76	6.9	7.02	7.04
"AT1G01190"	3.95	4.11	4.11	4.07	4.59	5.01	5.43	5.66	5.44	5.41	5.66	5.77	5.95	5.82	5.86	5.34	5.4	5.4
